"time_id","the_date","the_day","the_month","the_year","day_of_month","week_of_year","month_of_year","quarter","fiscal_period"
"782","1998-02-20 00:00:00","Friday","February","1998","20","10","2","Q1",\N
"783","1998-02-21 00:00:00","Saturday","February","1998","21","10","2","Q1",\N
"784","1998-02-22 00:00:00","Sunday","February","1998","22","11","2","Q1",\N
"785","1998-02-23 00:00:00","Monday","February","1998","23","11","2","Q1",\N
"786","1998-02-24 00:00:00","Tuesday","February","1998","24","11","2","Q1",\N
"787","1998-02-25 00:00:00","Wednesday","February","1998","25","11","2","Q1",\N
"788","1998-02-26 00:00:00","Thursday","February","1998","26","11","2","Q1",\N
"789","1998-02-27 00:00:00","Friday","February","1998","27","11","2","Q1",\N
"790","1998-02-28 00:00:00","Saturday","February","1998","28","11","2","Q1",\N
"791","1998-03-01 00:00:00","Sunday","March","1998","1","12","3","Q1",\N
"792","1998-03-02 00:00:00","Monday","March","1998","2","12","3","Q1",\N
"793","1998-03-03 00:00:00","Tuesday","March","1998","3","12","3","Q1",\N
"794","1998-03-04 00:00:00","Wednesday","March","1998","4","12","3","Q1",\N
"795","1998-03-05 00:00:00","Thursday","March","1998","5","12","3","Q1",\N
"796","1998-03-06 00:00:00","Friday","March","1998","6","12","3","Q1",\N
"797","1998-03-07 00:00:00","Saturday","March","1998","7","12","3","Q1",\N
"798","1998-03-08 00:00:00","Sunday","March","1998","8","13","3","Q1",\N
"799","1998-03-09 00:00:00","Monday","March","1998","9","13","3","Q1",\N
"800","1998-03-10 00:00:00","Tuesday","March","1998","10","13","3","Q1",\N
"801","1998-03-11 00:00:00","Wednesday","March","1998","11","13","3","Q1",\N
"802","1998-03-12 00:00:00","Thursday","March","1998","12","13","3","Q1",\N
"803","1998-03-13 00:00:00","Friday","March","1998","13","13","3","Q1",\N
"804","1998-03-14 00:00:00","Saturday","March","1998","14","13","3","Q1",\N
"805","1998-03-15 00:00:00","Sunday","March","1998","15","14","3","Q1",\N
"806","1998-03-16 00:00:00","Monday","March","1998","16","14","3","Q1",\N
"807","1998-03-17 00:00:00","Tuesday","March","1998","17","14","3","Q1",\N
"808","1998-03-18 00:00:00","Wednesday","March","1998","18","14","3","Q1",\N
"809","1998-03-19 00:00:00","Thursday","March","1998","19","14","3","Q1",\N
"810","1998-03-20 00:00:00","Friday","March","1998","20","14","3","Q1",\N
"811","1998-03-21 00:00:00","Saturday","March","1998","21","14","3","Q1",\N
"812","1998-03-22 00:00:00","Sunday","March","1998","22","15","3","Q1",\N
"813","1998-03-23 00:00:00","Monday","March","1998","23","15","3","Q1",\N
"814","1998-03-24 00:00:00","Tuesday","March","1998","24","15","3","Q1",\N
"815","1998-03-25 00:00:00","Wednesday","March","1998","25","15","3","Q1",\N
"816","1998-03-26 00:00:00","Thursday","March","1998","26","15","3","Q1",\N
"817","1998-03-27 00:00:00","Friday","March","1998","27","15","3","Q1",\N
"818","1998-03-28 00:00:00","Saturday","March","1998","28","15","3","Q1",\N
"819","1998-03-29 00:00:00","Sunday","March","1998","29","16","3","Q1",\N
"820","1998-03-30 00:00:00","Monday","March","1998","30","16","3","Q1",\N
"821","1998-03-31 00:00:00","Tuesday","March","1998","31","16","3","Q1",\N
"822","1998-04-01 00:00:00","Wednesday","April","1998","1","16","4","Q2",\N
"823","1998-04-02 00:00:00","Thursday","April","1998","2","16","4","Q2",\N
"824","1998-04-03 00:00:00","Friday","April","1998","3","16","4","Q2",\N
"825","1998-04-04 00:00:00","Saturday","April","1998","4","16","4","Q2",\N
"826","1998-04-05 00:00:00","Sunday","April","1998","5","17","4","Q2",\N
"827","1998-04-06 00:00:00","Monday","April","1998","6","17","4","Q2",\N
"828","1998-04-07 00:00:00","Tuesday","April","1998","7","17","4","Q2",\N
"829","1998-04-08 00:00:00","Wednesday","April","1998","8","17","4","Q2",\N
"830","1998-04-09 00:00:00","Thursday","April","1998","9","17","4","Q2",\N
"831","1998-04-10 00:00:00","Friday","April","1998","10","17","4","Q2",\N
"832","1998-04-11 00:00:00","Saturday","April","1998","11","17","4","Q2",\N
"833","1998-04-12 00:00:00","Sunday","April","1998","12","18","4","Q2",\N
"834","1998-04-13 00:00:00","Monday","April","1998","13","18","4","Q2",\N
"835","1998-04-14 00:00:00","Tuesday","April","1998","14","18","4","Q2",\N
"836","1998-04-15 00:00:00","Wednesday","April","1998","15","18","4","Q2",\N
"837","1998-04-16 00:00:00","Thursday","April","1998","16","18","4","Q2",\N
"838","1998-04-17 00:00:00","Friday","April","1998","17","18","4","Q2",\N
"839","1998-04-18 00:00:00","Saturday","April","1998","18","18","4","Q2",\N
"840","1998-04-19 00:00:00","Sunday","April","1998","19","19","4","Q2",\N
"841","1998-04-20 00:00:00","Monday","April","1998","20","19","4","Q2",\N
"842","1998-04-21 00:00:00","Tuesday","April","1998","21","19","4","Q2",\N
"843","1998-04-22 00:00:00","Wednesday","April","1998","22","19","4","Q2",\N
"844","1998-04-23 00:00:00","Thursday","April","1998","23","19","4","Q2",\N
"845","1998-04-24 00:00:00","Friday","April","1998","24","19","4","Q2",\N
"846","1998-04-25 00:00:00","Saturday","April","1998","25","19","4","Q2",\N
"847","1998-04-26 00:00:00","Sunday","April","1998","26","20","4","Q2",\N
"848","1998-04-27 00:00:00","Monday","April","1998","27","20","4","Q2",\N
"849","1998-04-28 00:00:00","Tuesday","April","1998","28","20","4","Q2",\N
"850","1998-04-29 00:00:00","Wednesday","April","1998","29","20","4","Q2",\N
"851","1998-04-30 00:00:00","Thursday","April","1998","30","20","4","Q2",\N
"852","1998-05-01 00:00:00","Friday","May","1998","1","20","5","Q2",\N
"853","1998-05-02 00:00:00","Saturday","May","1998","2","20","5","Q2",\N
"854","1998-05-03 00:00:00","Sunday","May","1998","3","21","5","Q2",\N
"855","1998-05-04 00:00:00","Monday","May","1998","4","21","5","Q2",\N
"856","1998-05-05 00:00:00","Tuesday","May","1998","5","21","5","Q2",\N
"857","1998-05-06 00:00:00","Wednesday","May","1998","6","21","5","Q2",\N
"858","1998-05-07 00:00:00","Thursday","May","1998","7","21","5","Q2",\N
"859","1998-05-08 00:00:00","Friday","May","1998","8","21","5","Q2",\N
"860","1998-05-09 00:00:00","Saturday","May","1998","9","21","5","Q2",\N
"861","1998-05-10 00:00:00","Sunday","May","1998","10","22","5","Q2",\N
"862","1998-05-11 00:00:00","Monday","May","1998","11","22","5","Q2",\N
"863","1998-05-12 00:00:00","Tuesday","May","1998","12","22","5","Q2",\N
"864","1998-05-13 00:00:00","Wednesday","May","1998","13","22","5","Q2",\N
"865","1998-05-14 00:00:00","Thursday","May","1998","14","22","5","Q2",\N
"866","1998-05-15 00:00:00","Friday","May","1998","15","22","5","Q2",\N
"867","1998-05-16 00:00:00","Saturday","May","1998","16","22","5","Q2",\N
"868","1998-05-17 00:00:00","Sunday","May","1998","17","23","5","Q2",\N
"869","1998-05-18 00:00:00","Monday","May","1998","18","23","5","Q2",\N
"870","1998-05-19 00:00:00","Tuesday","May","1998","19","23","5","Q2",\N
"871","1998-05-20 00:00:00","Wednesday","May","1998","20","23","5","Q2",\N
"872","1998-05-21 00:00:00","Thursday","May","1998","21","23","5","Q2",\N
"873","1998-05-22 00:00:00","Friday","May","1998","22","23","5","Q2",\N
"874","1998-05-23 00:00:00","Saturday","May","1998","23","23","5","Q2",\N
"875","1998-05-24 00:00:00","Sunday","May","1998","24","24","5","Q2",\N
"876","1998-05-25 00:00:00","Monday","May","1998","25","24","5","Q2",\N
"877","1998-05-26 00:00:00","Tuesday","May","1998","26","24","5","Q2",\N
"878","1998-05-27 00:00:00","Wednesday","May","1998","27","24","5","Q2",\N
"879","1998-05-28 00:00:00","Thursday","May","1998","28","24","5","Q2",\N
"880","1998-05-29 00:00:00","Friday","May","1998","29","24","5","Q2",\N
"881","1998-05-30 00:00:00","Saturday","May","1998","30","24","5","Q2",\N
"882","1998-05-31 00:00:00","Sunday","May","1998","31","25","5","Q2",\N
"883","1998-06-01 00:00:00","Monday","June","1998","1","25","6","Q2",\N
"884","1998-06-02 00:00:00","Tuesday","June","1998","2","25","6","Q2",\N
"885","1998-06-03 00:00:00","Wednesday","June","1998","3","25","6","Q2",\N
"886","1998-06-04 00:00:00","Thursday","June","1998","4","25","6","Q2",\N
"887","1998-06-05 00:00:00","Friday","June","1998","5","25","6","Q2",\N
"888","1998-06-06 00:00:00","Saturday","June","1998","6","25","6","Q2",\N
"889","1998-06-07 00:00:00","Sunday","June","1998","7","26","6","Q2",\N
"890","1998-06-08 00:00:00","Monday","June","1998","8","26","6","Q2",\N
"891","1998-06-09 00:00:00","Tuesday","June","1998","9","26","6","Q2",\N
"892","1998-06-10 00:00:00","Wednesday","June","1998","10","26","6","Q2",\N
"893","1998-06-11 00:00:00","Thursday","June","1998","11","26","6","Q2",\N
"894","1998-06-12 00:00:00","Friday","June","1998","12","26","6","Q2",\N
"895","1998-06-13 00:00:00","Saturday","June","1998","13","26","6","Q2",\N
"896","1998-06-14 00:00:00","Sunday","June","1998","14","27","6","Q2",\N
"897","1998-06-15 00:00:00","Monday","June","1998","15","27","6","Q2",\N
"898","1998-06-16 00:00:00","Tuesday","June","1998","16","27","6","Q2",\N
"899","1998-06-17 00:00:00","Wednesday","June","1998","17","27","6","Q2",\N
"900","1998-06-18 00:00:00","Thursday","June","1998","18","27","6","Q2",\N
"901","1998-06-19 00:00:00","Friday","June","1998","19","27","6","Q2",\N
"902","1998-06-20 00:00:00","Saturday","June","1998","20","27","6","Q2",\N
"903","1998-06-21 00:00:00","Sunday","June","1998","21","28","6","Q2",\N
"904","1998-06-22 00:00:00","Monday","June","1998","22","28","6","Q2",\N
"905","1998-06-23 00:00:00","Tuesday","June","1998","23","28","6","Q2",\N
"906","1998-06-24 00:00:00","Wednesday","June","1998","24","28","6","Q2",\N
"907","1998-06-25 00:00:00","Thursday","June","1998","25","28","6","Q2",\N
"908","1998-06-26 00:00:00","Friday","June","1998","26","28","6","Q2",\N
"909","1998-06-27 00:00:00","Saturday","June","1998","27","28","6","Q2",\N
"910","1998-06-28 00:00:00","Sunday","June","1998","28","29","6","Q2",\N
"911","1998-06-29 00:00:00","Monday","June","1998","29","29","6","Q2",\N
"912","1998-06-30 00:00:00","Tuesday","June","1998","30","29","6","Q2",\N
"913","1998-07-01 00:00:00","Wednesday","July","1998","1","29","7","Q3",\N
"914","1998-07-02 00:00:00","Thursday","July","1998","2","29","7","Q3",\N
"915","1998-07-03 00:00:00","Friday","July","1998","3","29","7","Q3",\N
"916","1998-07-04 00:00:00","Saturday","July","1998","4","29","7","Q3",\N
"917","1998-07-05 00:00:00","Sunday","July","1998","5","30","7","Q3",\N
"918","1998-07-06 00:00:00","Monday","July","1998","6","30","7","Q3",\N
"919","1998-07-07 00:00:00","Tuesday","July","1998","7","30","7","Q3",\N
"920","1998-07-08 00:00:00","Wednesday","July","1998","8","30","7","Q3",\N
"921","1998-07-09 00:00:00","Thursday","July","1998","9","30","7","Q3",\N
"922","1998-07-10 00:00:00","Friday","July","1998","10","30","7","Q3",\N
"923","1998-07-11 00:00:00","Saturday","July","1998","11","30","7","Q3",\N
"924","1998-07-12 00:00:00","Sunday","July","1998","12","31","7","Q3",\N
"925","1998-07-13 00:00:00","Monday","July","1998","13","31","7","Q3",\N
"926","1998-07-14 00:00:00","Tuesday","July","1998","14","31","7","Q3",\N
"927","1998-07-15 00:00:00","Wednesday","July","1998","15","31","7","Q3",\N
"928","1998-07-16 00:00:00","Thursday","July","1998","16","31","7","Q3",\N
"929","1998-07-17 00:00:00","Friday","July","1998","17","31","7","Q3",\N
"930","1998-07-18 00:00:00","Saturday","July","1998","18","31","7","Q3",\N
"931","1998-07-19 00:00:00","Sunday","July","1998","19","32","7","Q3",\N
"932","1998-07-20 00:00:00","Monday","July","1998","20","32","7","Q3",\N
"933","1998-07-21 00:00:00","Tuesday","July","1998","21","32","7","Q3",\N
"934","1998-07-22 00:00:00","Wednesday","July","1998","22","32","7","Q3",\N
"935","1998-07-23 00:00:00","Thursday","July","1998","23","32","7","Q3",\N
"936","1998-07-24 00:00:00","Friday","July","1998","24","32","7","Q3",\N
"937","1998-07-25 00:00:00","Saturday","July","1998","25","32","7","Q3",\N
"938","1998-07-26 00:00:00","Sunday","July","1998","26","33","7","Q3",\N
"939","1998-07-27 00:00:00","Monday","July","1998","27","33","7","Q3",\N
"940","1998-07-28 00:00:00","Tuesday","July","1998","28","33","7","Q3",\N
"941","1998-07-29 00:00:00","Wednesday","July","1998","29","33","7","Q3",\N
"942","1998-07-30 00:00:00","Thursday","July","1998","30","33","7","Q3",\N
"943","1998-07-31 00:00:00","Friday","July","1998","31","33","7","Q3",\N
"944","1998-08-01 00:00:00","Saturday","August","1998","1","33","8","Q3",\N
"945","1998-08-02 00:00:00","Sunday","August","1998","2","34","8","Q3",\N
"946","1998-08-03 00:00:00","Monday","August","1998","3","34","8","Q3",\N
"947","1998-08-04 00:00:00","Tuesday","August","1998","4","34","8","Q3",\N
"948","1998-08-05 00:00:00","Wednesday","August","1998","5","34","8","Q3",\N
"949","1998-08-06 00:00:00","Thursday","August","1998","6","34","8","Q3",\N
"950","1998-08-07 00:00:00","Friday","August","1998","7","34","8","Q3",\N
"951","1998-08-08 00:00:00","Saturday","August","1998","8","34","8","Q3",\N
"952","1998-08-09 00:00:00","Sunday","August","1998","9","35","8","Q3",\N
"953","1998-08-10 00:00:00","Monday","August","1998","10","35","8","Q3",\N
"954","1998-08-11 00:00:00","Tuesday","August","1998","11","35","8","Q3",\N
"955","1998-08-12 00:00:00","Wednesday","August","1998","12","35","8","Q3",\N
"956","1998-08-13 00:00:00","Thursday","August","1998","13","35","8","Q3",\N
"957","1998-08-14 00:00:00","Friday","August","1998","14","35","8","Q3",\N
"958","1998-08-15 00:00:00","Saturday","August","1998","15","35","8","Q3",\N
"959","1998-08-16 00:00:00","Sunday","August","1998","16","36","8","Q3",\N
"960","1998-08-17 00:00:00","Monday","August","1998","17","36","8","Q3",\N
"961","1998-08-18 00:00:00","Tuesday","August","1998","18","36","8","Q3",\N
"962","1998-08-19 00:00:00","Wednesday","August","1998","19","36","8","Q3",\N
"963","1998-08-20 00:00:00","Thursday","August","1998","20","36","8","Q3",\N
"964","1998-08-21 00:00:00","Friday","August","1998","21","36","8","Q3",\N
"965","1998-08-22 00:00:00","Saturday","August","1998","22","36","8","Q3",\N
"966","1998-08-23 00:00:00","Sunday","August","1998","23","37","8","Q3",\N
"967","1998-08-24 00:00:00","Monday","August","1998","24","37","8","Q3",\N
"968","1998-08-25 00:00:00","Tuesday","August","1998","25","37","8","Q3",\N
"969","1998-08-26 00:00:00","Wednesday","August","1998","26","37","8","Q3",\N
"970","1998-08-27 00:00:00","Thursday","August","1998","27","37","8","Q3",\N
"971","1998-08-28 00:00:00","Friday","August","1998","28","37","8","Q3",\N
"972","1998-08-29 00:00:00","Saturday","August","1998","29","37","8","Q3",\N
"973","1998-08-30 00:00:00","Sunday","August","1998","30","38","8","Q3",\N
"974","1998-08-31 00:00:00","Monday","August","1998","31","38","8","Q3",\N
"975","1998-09-01 00:00:00","Tuesday","September","1998","1","38","9","Q3",\N
"976","1998-09-02 00:00:00","Wednesday","September","1998","2","38","9","Q3",\N
"977","1998-09-03 00:00:00","Thursday","September","1998","3","38","9","Q3",\N
"978","1998-09-04 00:00:00","Friday","September","1998","4","38","9","Q3",\N
"979","1998-09-05 00:00:00","Saturday","September","1998","5","38","9","Q3",\N
"980","1998-09-06 00:00:00","Sunday","September","1998","6","39","9","Q3",\N
"981","1998-09-07 00:00:00","Monday","September","1998","7","39","9","Q3",\N
"982","1998-09-08 00:00:00","Tuesday","September","1998","8","39","9","Q3",\N
"983","1998-09-09 00:00:00","Wednesday","September","1998","9","39","9","Q3",\N
"984","1998-09-10 00:00:00","Thursday","September","1998","10","39","9","Q3",\N
"985","1998-09-11 00:00:00","Friday","September","1998","11","39","9","Q3",\N
"986","1998-09-12 00:00:00","Saturday","September","1998","12","39","9","Q3",\N
"987","1998-09-13 00:00:00","Sunday","September","1998","13","40","9","Q3",\N
"988","1998-09-14 00:00:00","Monday","September","1998","14","40","9","Q3",\N
"367","1997-01-01 00:00:00","Wednesday","January","1997","1","2","1","Q1",\N
"368","1997-01-02 00:00:00","Thursday","January","1997","2","2","1","Q1",\N
"369","1997-01-03 00:00:00","Friday","January","1997","3","2","1","Q1",\N
"370","1997-01-04 00:00:00","Saturday","January","1997","4","2","1","Q1",\N
"371","1997-01-05 00:00:00","Sunday","January","1997","5","3","1","Q1",\N
"372","1997-01-06 00:00:00","Monday","January","1997","6","3","1","Q1",\N
"373","1997-01-07 00:00:00","Tuesday","January","1997","7","3","1","Q1",\N
"374","1997-01-08 00:00:00","Wednesday","January","1997","8","3","1","Q1",\N
"375","1997-01-09 00:00:00","Thursday","January","1997","9","3","1","Q1",\N
"376","1997-01-10 00:00:00","Friday","January","1997","10","3","1","Q1",\N
"377","1997-01-11 00:00:00","Saturday","January","1997","11","3","1","Q1",\N
"378","1997-01-12 00:00:00","Sunday","January","1997","12","4","1","Q1",\N
"379","1997-01-13 00:00:00","Monday","January","1997","13","4","1","Q1",\N
"380","1997-01-14 00:00:00","Tuesday","January","1997","14","4","1","Q1",\N
"381","1997-01-15 00:00:00","Wednesday","January","1997","15","4","1","Q1",\N
"382","1997-01-16 00:00:00","Thursday","January","1997","16","4","1","Q1",\N
"383","1997-01-17 00:00:00","Friday","January","1997","17","4","1","Q1",\N
"384","1997-01-18 00:00:00","Saturday","January","1997","18","4","1","Q1",\N
"385","1997-01-19 00:00:00","Sunday","January","1997","19","5","1","Q1",\N
"386","1997-01-20 00:00:00","Monday","January","1997","20","5","1","Q1",\N
"387","1997-01-21 00:00:00","Tuesday","January","1997","21","5","1","Q1",\N
"388","1997-01-22 00:00:00","Wednesday","January","1997","22","5","1","Q1",\N
"389","1997-01-23 00:00:00","Thursday","January","1997","23","5","1","Q1",\N
"390","1997-01-24 00:00:00","Friday","January","1997","24","5","1","Q1",\N
"391","1997-01-25 00:00:00","Saturday","January","1997","25","5","1","Q1",\N
"392","1997-01-26 00:00:00","Sunday","January","1997","26","6","1","Q1",\N
"393","1997-01-27 00:00:00","Monday","January","1997","27","6","1","Q1",\N
"394","1997-01-28 00:00:00","Tuesday","January","1997","28","6","1","Q1",\N
"395","1997-01-29 00:00:00","Wednesday","January","1997","29","6","1","Q1",\N
"396","1997-01-30 00:00:00","Thursday","January","1997","30","6","1","Q1",\N
"397","1997-01-31 00:00:00","Friday","January","1997","31","6","1","Q1",\N
"398","1997-02-01 00:00:00","Saturday","February","1997","1","6","2","Q1",\N
"399","1997-02-02 00:00:00","Sunday","February","1997","2","7","2","Q1",\N
"400","1997-02-03 00:00:00","Monday","February","1997","3","7","2","Q1",\N
"401","1997-02-04 00:00:00","Tuesday","February","1997","4","7","2","Q1",\N
"402","1997-02-05 00:00:00","Wednesday","February","1997","5","7","2","Q1",\N
"403","1997-02-06 00:00:00","Thursday","February","1997","6","7","2","Q1",\N
"404","1997-02-07 00:00:00","Friday","February","1997","7","7","2","Q1",\N
"405","1997-02-08 00:00:00","Saturday","February","1997","8","7","2","Q1",\N
"406","1997-02-09 00:00:00","Sunday","February","1997","9","8","2","Q1",\N
"407","1997-02-10 00:00:00","Monday","February","1997","10","8","2","Q1",\N
"408","1997-02-11 00:00:00","Tuesday","February","1997","11","8","2","Q1",\N
"409","1997-02-12 00:00:00","Wednesday","February","1997","12","8","2","Q1",\N
"410","1997-02-13 00:00:00","Thursday","February","1997","13","8","2","Q1",\N
"411","1997-02-14 00:00:00","Friday","February","1997","14","8","2","Q1",\N
"412","1997-02-15 00:00:00","Saturday","February","1997","15","8","2","Q1",\N
"413","1997-02-16 00:00:00","Sunday","February","1997","16","9","2","Q1",\N
"414","1997-02-17 00:00:00","Monday","February","1997","17","9","2","Q1",\N
"415","1997-02-18 00:00:00","Tuesday","February","1997","18","9","2","Q1",\N
"416","1997-02-19 00:00:00","Wednesday","February","1997","19","9","2","Q1",\N
"417","1997-02-20 00:00:00","Thursday","February","1997","20","9","2","Q1",\N
"418","1997-02-21 00:00:00","Friday","February","1997","21","9","2","Q1",\N
"419","1997-02-22 00:00:00","Saturday","February","1997","22","9","2","Q1",\N
"420","1997-02-23 00:00:00","Sunday","February","1997","23","10","2","Q1",\N
"421","1997-02-24 00:00:00","Monday","February","1997","24","10","2","Q1",\N
"422","1997-02-25 00:00:00","Tuesday","February","1997","25","10","2","Q1",\N
"423","1997-02-26 00:00:00","Wednesday","February","1997","26","10","2","Q1",\N
"424","1997-02-27 00:00:00","Thursday","February","1997","27","10","2","Q1",\N
"425","1997-02-28 00:00:00","Friday","February","1997","28","10","2","Q1",\N
"426","1997-03-01 00:00:00","Saturday","March","1997","1","10","3","Q1",\N
"427","1997-03-02 00:00:00","Sunday","March","1997","2","11","3","Q1",\N
"428","1997-03-03 00:00:00","Monday","March","1997","3","11","3","Q1",\N
"429","1997-03-04 00:00:00","Tuesday","March","1997","4","11","3","Q1",\N
"430","1997-03-05 00:00:00","Wednesday","March","1997","5","11","3","Q1",\N
"431","1997-03-06 00:00:00","Thursday","March","1997","6","11","3","Q1",\N
"432","1997-03-07 00:00:00","Friday","March","1997","7","11","3","Q1",\N
"433","1997-03-08 00:00:00","Saturday","March","1997","8","11","3","Q1",\N
"434","1997-03-09 00:00:00","Sunday","March","1997","9","12","3","Q1",\N
"435","1997-03-10 00:00:00","Monday","March","1997","10","12","3","Q1",\N
"436","1997-03-11 00:00:00","Tuesday","March","1997","11","12","3","Q1",\N
"437","1997-03-12 00:00:00","Wednesday","March","1997","12","12","3","Q1",\N
"438","1997-03-13 00:00:00","Thursday","March","1997","13","12","3","Q1",\N
"439","1997-03-14 00:00:00","Friday","March","1997","14","12","3","Q1",\N
"440","1997-03-15 00:00:00","Saturday","March","1997","15","12","3","Q1",\N
"441","1997-03-16 00:00:00","Sunday","March","1997","16","13","3","Q1",\N
"442","1997-03-17 00:00:00","Monday","March","1997","17","13","3","Q1",\N
"443","1997-03-18 00:00:00","Tuesday","March","1997","18","13","3","Q1",\N
"444","1997-03-19 00:00:00","Wednesday","March","1997","19","13","3","Q1",\N
"445","1997-03-20 00:00:00","Thursday","March","1997","20","13","3","Q1",\N
"446","1997-03-21 00:00:00","Friday","March","1997","21","13","3","Q1",\N
"447","1997-03-22 00:00:00","Saturday","March","1997","22","13","3","Q1",\N
"448","1997-03-23 00:00:00","Sunday","March","1997","23","14","3","Q1",\N
"449","1997-03-24 00:00:00","Monday","March","1997","24","14","3","Q1",\N
"450","1997-03-25 00:00:00","Tuesday","March","1997","25","14","3","Q1",\N
"451","1997-03-26 00:00:00","Wednesday","March","1997","26","14","3","Q1",\N
"452","1997-03-27 00:00:00","Thursday","March","1997","27","14","3","Q1",\N
"453","1997-03-28 00:00:00","Friday","March","1997","28","14","3","Q1",\N
"454","1997-03-29 00:00:00","Saturday","March","1997","29","14","3","Q1",\N
"455","1997-03-30 00:00:00","Sunday","March","1997","30","15","3","Q1",\N
"456","1997-03-31 00:00:00","Monday","March","1997","31","15","3","Q1",\N
"457","1997-04-01 00:00:00","Tuesday","April","1997","1","15","4","Q2",\N
"458","1997-04-02 00:00:00","Wednesday","April","1997","2","15","4","Q2",\N
"459","1997-04-03 00:00:00","Thursday","April","1997","3","15","4","Q2",\N
"460","1997-04-04 00:00:00","Friday","April","1997","4","15","4","Q2",\N
"461","1997-04-05 00:00:00","Saturday","April","1997","5","15","4","Q2",\N
"462","1997-04-06 00:00:00","Sunday","April","1997","6","16","4","Q2",\N
"463","1997-04-07 00:00:00","Monday","April","1997","7","16","4","Q2",\N
"464","1997-04-08 00:00:00","Tuesday","April","1997","8","16","4","Q2",\N
"465","1997-04-09 00:00:00","Wednesday","April","1997","9","16","4","Q2",\N
"466","1997-04-10 00:00:00","Thursday","April","1997","10","16","4","Q2",\N
"467","1997-04-11 00:00:00","Friday","April","1997","11","16","4","Q2",\N
"468","1997-04-12 00:00:00","Saturday","April","1997","12","16","4","Q2",\N
"469","1997-04-13 00:00:00","Sunday","April","1997","13","17","4","Q2",\N
"470","1997-04-14 00:00:00","Monday","April","1997","14","17","4","Q2",\N
"471","1997-04-15 00:00:00","Tuesday","April","1997","15","17","4","Q2",\N
